Gene_ID,C1,C2,H2,H3,external_gene_name
ENSG00000132823,9.465513204,9.488082589,10.1219775,9.937313796,OSER1
ENSG00000132824,11.35566,11.42060369,10.98315205,10.97248831,SERINC3
ENSG00000132825,8.53733757,7.925721851,8.152742013,8.159339981,PPP1R3D
ENSG00000132837,4.825852101,4.982324597,5.093993946,5.23427294,DMGDH
ENSG00000132840,5.453517605,5.576786584,5.372810532,5.270346002,BHMT2
ENSG00000132842,10.07002913,10.09910541,9.466191084,9.573981024,AP3B1
ENSG00000132846,7.994452024,6.967790152,6.558429727,6.944845106,ZBED3
ENSG00000132849,8.783174279,8.739785626,7.571553695,7.533151356,PATJ
ENSG00000132854,5.243707925,4.905023648,5.372810532,5.068634558,KANK4
ENSG00000132874,6.113854455,6.311447617,6.089666901,6.05701475,SLC14A2
ENSG00000132879,9.341239197,9.318545623,10.08099672,9.748328839,FBXO44
ENSG00000132906,8.403210724,8.635552781,8.756135415,8.545045767,CASP9
ENSG00000132912,9.62709488,9.678761923,9.332823295,8.967944158,DCTN4
ENSG00000132915,7.380698562,7.400241524,7.110401335,7.165339013,PDE6A
ENSG00000132932,6.46997077,6.456543015,5.899568012,5.705249447,ATP8A2
ENSG00000132938,5.398705649,4.692146444,4.398995776,4.966374418,MTUS2
ENSG00000132950,8.424278813,8.78346939,7.632498946,7.695563992,ZMYM5
ENSG00000132952,9.408674789,9.27844899,8.378772185,8.817210817,USPL1
ENSG00000132953,9.572873133,9.750832054,8.613646117,8.899564015,XPO4
ENSG00000132958,5.340181498,5.508754055,5.401645339,5.400289046,TPTE2
ENSG00000132963,9.124050355,9.255910264,9.193544093,9.683655045,POMP
ENSG00000132964,8.119498649,8.011891851,7.604697524,7.866162424,CDK8
ENSG00000132965,10.07086152,9.579994394,10.36938003,10.16129659,ALOX5AP
ENSG00000132967,4.398995776,4.398995776,4.398995776,4.398995776,HMGB1P5
ENSG00000132970,6.630769626,7.630514527,6.291219928,6.274875543,WASF3
ENSG00000132972,4.398995776,5.16683969,4.398995776,4.398995776,RNF17
ENSG00000132975,4.747943955,4.692146444,4.749005772,4.654041345,GPR12
ENSG00000133019,6.070351184,5.886150462,5.279796298,5.48624906,CHRM3
ENSG00000133026,7.375231959,8.14335046,7.821199773,7.31942607,MYH10
ENSG00000133027,7.143324272,7.298004088,7.800980813,7.988500879,PEMT
ENSG00000133028,9.445103315,9.550004098,9.831070043,9.804899879,SCO1
ENSG00000133030,11.91957694,11.97988898,12.53113306,12.34606551,MPRIP
ENSG00000133048,7.666044748,5.756661627,7.451593604,7.772465436,CHI3L1
ENSG00000133055,4.948745054,4.692146444,4.827147859,4.839608709,MYBPH
